Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Russian Federation,RUS,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,6.97989872935135,3.87612476973049,2.36911533657246,6.83107025995823,10.3741278519981,2.38456738994872,2.91467965545248,..
Russian Federation,RUS,"Population, total",SP.POP.TOTL,145398106,145453291,145245148,144746762,144236933,143826130,143533851,..
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.643391023533141,-0.402169200894946,-4.16876457146743,2.69657404187188,0.941998775483285,1.47503481053384,0.104309021773304,..
Japan,JPN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.989094598021848,0.46877615938395,-0.024995834027731,-0.233352779398264,2.49770278172255,3.26813365933163,2.73853681635241,..
Japan,JPN,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,3.81356189525634,0.98830680674682,-6.76309198034645,5.20649256171211,8.25448212053372,-1.47698443908712,0.972139444176179,..
Japan,JPN,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,3.51661817468288,3.45076611445327,2.96847858242383,3.89996604353178,2.11637961936876,3.71672795030716,4.82314808005734,..
Japan,JPN,"Population, total",SP.POP.TOTL,126811000,126633000,126261000,125681593,125124989,124516650,123975371,..
South Africa,ZAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.55678384721676,0.25993557687633,-6.1689177146757,4.85864865060148,2.05813661692193,0.80610455095804,0.534843531905139,..
South Africa,ZAF,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.50987264867388,4.10285075461156,3.23238831615113,4.61874544887136,7.03987272546482,6.0752438457966,4.36115246518962,..
South Africa,ZAF,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,3.4791947514796,0.553156479237884,-17.5717938197948,9.70342522719906,14.9744349757014,3.93381089497682,-6.40654856591236,..
South Africa,ZAF,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-3.00051939426577,-2.61999067483039,2.00352275153333,3.77241369345008,-0.29618259812743,-1.10356312207881,-0.64279979707505,..
South Africa,ZAF,"Population, total",SP.POP.TOTL,58613001,59587885,60562381,61502603,62378410,63212384,64007187,..
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.78366676137003,1.22077782271943,-3.27675879612903,4.7626043797061,3.01669435408112,3.24165532813583,3.41931516597739,..
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.66485028376729,3.73297621216894,3.21176803803376,8.30165975585673,9.28010608956873,4.59356282283204,4.36746407652337,..
Brazil,BRA,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,7.74277893136828,1.33256609511557,-9.47663903979316,13.7520532576298,0.951493762686198,-1.18284673189353,15.5725497061949,..
Brazil,BRA,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-2.80752036371842,-3.41429111497121,-1.64103535066212,-2.35822088025659,-2.14967710619443,-1.23558182662996,-3.02715961462093,..
Brazil,BRA,"Population, total",SP.POP.TOTL,206107261,207455459,208660842,209550294,210306415,211140729,211998573,..
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,
